127.0.0.1 - - [02/Feb/2023:15:34:30 +0900] "GET / HTTP/1.1" 200 17549
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET / HTTP/1.1" 200 17549
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 95609
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/animate.css/animate.min.css HTTP/1.1" 200 71750
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16470
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80420
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/css/style.css HTTP/1.1" 200 40752
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/waypoints/noframework.waypoints.js HTTP/1.1" 200 21112
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143707
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/php-email-form/validate.js HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/js/main.js HTTP/1.1" 200 5595
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/logo.png HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/main_img4.png HTTP/1.1" 200 13355
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/main_img3.png HTTP/1.1" 200 68535
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/main_img5.png HTTP/1.1" 200 22250
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/main_img6.png HTTP/1.1" 200 1081767
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/img/hero-bg2.jpg HTTP/1.1" 200 2939807
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47 HTTP/1.1" 200 121296
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:31 +0900] "GET /resources/vendor/boxicons/fonts/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:32 +0900] "GET /main_board2.do HTTP/1.1" 200 5245
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:32 +0900] "GET /resources/img/main_img2.png HTTP/1.1" 200 13214
0:0:0:0:0:0:0:1 - - [02/Feb/2023:15:34:33 +0900] "GET /member/loginForm HTTP/1.1" 200 9698
